Model,Test RMSE,Test MAE,Test MAPE %,Parameters,Train time (s),Label,Δ RMSE vs baseline,Beats baseline,RMSE gain USD,Gain per train min,Gain per 10k params
Hybrid_CNN32_LSTM64_Dropout0p2_Win1Month_21d,3.2277082294780013,1.8236222983459502,1.1571514648543109,25025.0,9.5,CNN-LSTM,-0.010318944884000647,True,0.010318944884000647,0.06517228347789883,0.0041234544991011575
GRU_1Layer_64Units_NoDropout_LR0p0001_Win1Month_21d,3.233908378551294,1.824518802722275,1.1590493085435367,12929.0,5.6,GRU_1Layer_64Units_no-dro…,-0.004118795810708065,True,0.004118795810708065,0.044129955114729266,0.003185703310935157
LSTM_2Layer_64-32Units_Dropout0p2_Win1Month_21d,3.234587063174369,1.8254907973512318,1.1593430483684306,29345.0,11.8,LSTM-2L,-0.003440111187632766,True,0.003440111187632766,0.017492090784573387,0.0011722989223488724
Hybrid_CNN32_LSTM64_Dropout0p2_Win1Month_21d_FineTuned,3.2353020370421013,1.824453789319562,1.1582581655309125,25025.0,15.5,CNN-LSTM_fine-tune,-0.00272513731990065,True,0.00272513731990065,0.010548918657679936,0.0010889659619982618
LSTM_1Layer_64Units_Dropout0p2_Win1Month_21d,3.235765582344033,1.8254750509663114,1.1594685044947892,16961.0,7.8,LSTM-1L,-0.0022615920179687166,True,0.0022615920179687166,0.017396861676682435,0.0013334072389415226
GRU_2Layer_64-32Units_Dropout0p2_Win1Month_21d,3.236747612177992,1.8249459368038838,1.1586180247299116,22305.0,10.0,GRU-2L,-0.0012795621840098192,True,0.0012795621840098192,0.0076773731040589155,0.0005736660766688272
Baseline (persistence),3.238027174362002,1.8269458932218268,1.1589238093514214,0.0,0.0,Baseline,0.0,False,0.0,0.0,0.0
GRU_1Layer_64Units_NoDropout_Win1Month_21d,3.238112679585892,1.8248799912571532,1.1581214220815288,12929.0,5.8,GRU_1Layer_64Units_no-drop,8.55052238901699e-05,False,0.0,0.0,0.0
GRU_1Layer_64Units_NoDropout_Win1M_21d,3.238112679585892,1.8248799912571532,1.1581214220815288,12929.0,6.1,GRU_1Layer_64Units_no-dro…,8.55052238901699e-05,False,0.0,0.0,0.0
GRU_1Layer_64Units_Dropout0p2_Win1Month_21d,3.2382849217137615,1.825045683647303,1.1583501056787786,12929.0,7.2,GRU-1L,0.0002577473517595408,False,0.0,0.0,0.0
LSTM_2Layer_64-32Units_NoDropout_Win1Month_21d,3.238664171413619,1.8266872046980525,1.1599422139284634,29345.0,7.9,LSTM_2Layer_64-32Units_no…,0.0006369970516169055,False,0.0,0.0,0.0
GRU_1Layer_64Units_NoDropout_Win1W_5d,3.2554220841822423,1.8462953346760986,1.1771172387529811,12929.0,6.4,GRU_1Layer_64Units_no-dro…,0.01739490982024039,False,0.0,0.0,0.0
GRU_1Layer_64Units_NoDropout_Win1Y_252d,3.276245532347723,1.8483617426063315,1.1767377272626536,12929.0,45.2,GRU_1Layer_64Units_no-dro…,0.03821835798572115,False,0.0,0.0,0.0
